Author1;Author2;Frequency
Australia;Australia;4
Brazil;Brazil;95
Brazil;Canada;5
Brazil;Chile;10
Brazil;China;2
Brazil;Denmark;2
Brazil;France;3
Brazil;India;4
Brazil;Italy;2
Brazil;USA;1
Canada;Canada;9
Canada;South Africa;1
Canada;USA;2
Chile;Chile;2
Chile;Iran;6
China;China;24
Egypt;Egypt;3
France;Belgium;1
France;France;6
Germany;Germany;4
Germany;Mexico;1
India;India;19
India;Pakistan;3
India;UK;1
Iran;Canada;4
Iran;Iran;9
Iran;Kuwait;2
Iran;South Africa;2
Italy;Italy;3
Japan;Japan;1
Libia;UK;1
Mexico;Mexico;4
Netherlands;Netherlands;12
Pakistan;Pakistan;1
Portugal;Brazil;4
Portugal;Chile;2
Portugal;Portugal;1
Rusia;Brazil;2
Rusia;Rusia;1
Saudi Arabia;Saudi Arabia;1
Serbia;Serbia;1
Turkey;Turkey;3
UK;Belgium;1
UK;France;1
UK;South Africa;1
UK;UK;2
USA;Brazil;2
USA;China;6
USA;India;1
USA;Israel;5
USA;USA;14
